epoch,train_loss,val_loss,val_acc,val_f1,val_prec,val_recall,lr
1,2.1842,2.4989,0.1718,0.1516,0.1617,0.1444,0.000500
2,2.0373,2.38,0.1898,0.1677,0.1769,0.1562,0.000498
3,1.9167,2.2348,0.2032,0.1734,0.1896,0.1644,0.000496
4,1.792,2.1041,0.2148,0.1977,0.2035,0.1875,0.000492
5,1.6682,1.9987,0.235,0.2145,0.223,0.2084,0.000488
6,1.5567,1.9048,0.2442,0.2368,0.241,0.2176,0.000482
7,1.4714,1.7833,0.2735,0.2478,0.264,0.2398,0.000476
8,1.3742,1.6996,0.2894,0.2763,0.2867,0.2703,0.000469
9,1.2544,1.5912,0.3179,0.2992,0.3109,0.2914,0.000461
10,1.1888,1.5308,0.3497,0.3299,0.3417,0.3134,0.000452
11,1.132,1.4306,0.3784,0.3553,0.3666,0.34,0.000443
12,1.0528,1.3687,0.4032,0.3823,0.3918,0.3704,0.000432
13,0.9656,1.3023,0.4351,0.4135,0.4238,0.3997,0.000421
14,0.9319,1.2232,0.4644,0.4476,0.458,0.425,0.000409
15,0.8485,1.1592,0.5003,0.4761,0.4884,0.4664,0.000397
16,0.793,1.1014,0.5261,0.5066,0.5183,0.4965,0.000384
17,0.7588,1.0569,0.5639,0.5429,0.5521,0.5276,0.000370
18,0.7085,0.9993,0.5898,0.5725,0.5856,0.5633,0.000356
19,0.6615,0.948,0.6224,0.5979,0.6117,0.5862,0.000342
20,0.6348,0.9053,0.6497,0.626,0.6405,0.6148,0.000327
21,0.5782,0.8497,0.6719,0.6519,0.6607,0.6412,0.000312
22,0.5522,0.8021,0.7024,0.6772,0.6884,0.6661,0.000297
23,0.4988,0.78,0.7224,0.7,0.711,0.6843,0.000281
24,0.4741,0.7476,0.7403,0.7205,0.7313,0.7115,0.000266
25,0.457,0.7309,0.7633,0.7356,0.7478,0.722,0.000250
26,0.4119,0.6604,0.7785,0.7538,0.7666,0.7414,0.000234
27,0.3875,0.6465,0.7901,0.7695,0.7804,0.7561,0.000219
28,0.3681,0.6212,0.8104,0.782,0.7965,0.7674,0.000203
29,0.348,0.5857,0.8206,0.7959,0.8071,0.7837,0.000188
30,0.3451,0.5579,0.8326,0.8067,0.8144,0.7901,0.000173
31,0.3102,0.5231,0.8402,0.8116,0.8306,0.8024,0.000158
32,0.2901,0.5139,0.839,0.8199,0.8333,0.8084,0.000144
33,0.2744,0.5052,0.8519,0.8335,0.8454,0.8136,0.000130
34,0.2467,0.465,0.8572,0.8395,0.841,0.8247,0.000116
35,0.247,0.4612,0.8643,0.8451,0.8505,0.8279,0.000103
36,0.2325,0.4308,0.8668,0.8443,0.8576,0.8352,0.000091
37,0.2181,0.416,0.8741,0.8478,0.8606,0.8363,0.000079
38,0.2029,0.3955,0.8777,0.8483,0.868,0.8402,0.000068
39,0.2028,0.3852,0.8798,0.8566,0.8708,0.8413,0.000057
40,0.1838,0.3729,0.8787,0.8545,0.8706,0.8449,0.000048
41,0.173,0.3615,0.8848,0.8573,0.8687,0.8464,0.000039
42,0.1609,0.3554,0.888,0.8632,0.8737,0.849,0.000031
43,0.1631,0.3464,0.8898,0.8671,0.8753,0.8515,0.000024
44,0.1523,0.3354,0.885,0.8662,0.8717,0.8568,0.000018
45,0.1504,0.3132,0.8897,0.8698,0.8747,0.8491,0.000012
46,0.1393,0.3211,0.8874,0.866,0.8789,0.8511,0.000008
47,0.1218,0.2941,0.8874,0.8674,0.8787,0.8556,0.000004
48,0.1196,0.2964,0.89,0.8649,0.8816,0.8536,0.000002
49,0.1304,0.278,0.8957,0.8703,0.8829,0.8579,0.000000
50,0.1168,0.2787,0.896,0.871,0.884,0.859,0.000000
