Date,Description,Amount
03/01,CHATGPT PLUS SUBSCRIPTION,$20.00
03/02,TRADER JOE'S #542,$72.40
03/04,SHELL OIL,$48.50
03/04,CVS PHARMACY (Travel toiletries),$24.15
03/05,UNITED AIRLINES,$487.00
03/05,STARBUCKS - SFO AIRPORT,$9.45
03/05,UBER TRIP,$34.50
03/05,MARRIOTT SEATTLE,"$1,312.00"
03/06,SEATTLE COFFEE WORKS,$7.20
03/06,UBER TRIP,$22.80
03/06,PIKE PLACE CHOWDER,$18.50
03/06,MUSEUM OF POP CULTURE,$30.00
03/07,ELLIOTT'S OYSTER HOUSE,$64.00
03/07,UBER TRIP,$41.20
03/07,AMAZON.COM,$156.99
03/08,REI SEATTLE,$45.00
03/08,UBER TRIP,$18.90
03/09,HUDSON NEWS - SEA AIRPORT,$12.40
03/09,UNITED AIRLINES,$487.00
03/10,SUNSET DRY CLEANERS,$38.50
03/12,SAFEWAY STORE,$88.30
03/13,EQUITONE FITNESS GYM,$75.00
03/15,NETFLIX.COM,$19.99
03/17,CHIPOTLE MEXICAN GRILL,$14.85
03/18,APPLE.COM/BILL,$9.99
03/20,BEST BUY (Electronics),$54.20
03/21,WHOLE FOODS MARKET,$104.10
03/22,CHIPOTLE MEXICAN GRILL,$16.45
03/24,LOCAL DINER (LUNCH),$22.00
03/25,TARGET STORES,$32.10
03/27,AMC THEATRES,$18.50
03/28,BLUE BOTTLE COFFEE,$6.75
03/30,CITY WATER & ELECTRIC,$115.00
03/31,ADOBE INC. (SUBSCRIPTION),$54.99
