timestamp,level,service,message,request_id,duration_ms
2026-03-15 02:00:25,INFO,payment-service,Cache hit,req-00077,91
2026-03-15 02:00:55,INFO,cdn-cache,Health check OK,req-00311,83
2026-03-15 02:01:50,INFO,payment-service,Connection established,req-00223,89
2026-03-15 02:01:58,INFO,checkout-flow,Health check OK,req-00377,86
2026-03-15 02:02:30,INFO,search-service,Health check OK,req-00317,167
2026-03-15 02:03:06,INFO,payment-service,Connection established,req-00407,182
2026-03-15 02:03:09,INFO,search-service,Request processed successfully,req-00297,96
2026-03-15 02:03:09,INFO,checkout-flow,Cache hit,req-00416,169
2026-03-15 02:03:53,INFO,payment-service,Connection established,req-00404,144
2026-03-15 02:04:23,INFO,payment-service,Cache hit,req-00390,141
2026-03-15 02:04:26,INFO,payment-service,Request processed successfully,req-00387,101
2026-03-15 02:04:30,INFO,search-service,Cache hit,req-00331,69
2026-03-15 02:04:35,INFO,checkout-flow,Connection established,req-00094,138
2026-03-15 02:04:43,INFO,cdn-cache,Request processed successfully,req-00245,198
2026-03-15 02:04:56,INFO,api-gateway,Request processed successfully,req-00430,61
2026-03-15 02:05:04,INFO,api-gateway,Connection established,req-00314,69
2026-03-15 02:05:19,INFO,cdn-cache,Request processed successfully,req-00097,183
2026-03-15 02:05:58,INFO,api-gateway,Cache hit,req-00304,163
2026-03-15 02:06:08,INFO,checkout-flow,Health check OK,req-00449,142
2026-03-15 02:06:15,INFO,cdn-cache,Cache hit,req-00361,191
2026-03-15 02:06:17,INFO,cdn-cache,Cache hit,req-00483,170
2026-03-15 02:06:34,INFO,payment-service,Cache hit,req-00309,104
2026-03-15 02:07:11,INFO,checkout-flow,Cache hit,req-00290,81
2026-03-15 02:07:18,INFO,search-service,Request processed successfully,req-00058,62
2026-03-15 02:07:52,INFO,search-service,Cache hit,req-00281,147
2026-03-15 02:07:53,INFO,cdn-cache,Connection established,req-00418,184
2026-03-15 02:08:03,INFO,api-gateway,Request processed successfully,req-00288,160
2026-03-15 02:08:07,INFO,checkout-flow,Request processed successfully,req-00380,149
2026-03-15 02:08:12,INFO,search-service,Health check OK,req-00227,73
2026-03-15 02:08:21,INFO,api-gateway,Request processed successfully,req-00300,185
2026-03-15 02:08:49,INFO,api-gateway,Cache hit,req-00280,87
2026-03-15 02:08:53,INFO,api-gateway,Health check OK,req-00175,88
2026-03-15 02:08:58,INFO,search-service,Cache hit,req-00224,151
2026-03-15 02:09:07,INFO,payment-service,Request processed successfully,req-00145,127
2026-03-15 02:09:28,INFO,cdn-cache,Health check OK,req-00232,177
2026-03-15 02:09:46,INFO,payment-service,Cache hit,req-00343,129
2026-03-15 02:10:03,INFO,payment-service,Cache hit,req-00363,165
2026-03-15 02:10:04,INFO,cdn-cache,Health check OK,req-00133,168
2026-03-15 02:10:16,INFO,cdn-cache,Connection established,req-00159,192
2026-03-15 02:11:00,INFO,payment-service,Request processed successfully,req-00266,62
2026-03-15 02:11:04,INFO,cdn-cache,Cache hit,req-00076,61
2026-03-15 02:11:09,INFO,payment-service,Connection established,req-00161,112
2026-03-15 02:11:35,INFO,search-service,Health check OK,req-00289,192
2026-03-15 02:11:37,INFO,cdn-cache,Cache hit,req-00047,158
2026-03-15 02:11:44,INFO,checkout-flow,Request processed successfully,req-00052,73
2026-03-15 02:11:55,INFO,search-service,Cache hit,req-00264,65
2026-03-15 02:12:03,INFO,payment-service,Request processed successfully,req-00484,190
2026-03-15 02:12:15,INFO,cdn-cache,Request processed successfully,req-00007,141
2026-03-15 02:12:18,INFO,search-service,Cache hit,req-00397,128
2026-03-15 02:12:58,INFO,api-gateway,Cache hit,req-00143,197
2026-03-15 02:13:11,INFO,api-gateway,Health check OK,req-00272,53
2026-03-15 02:13:18,INFO,checkout-flow,Connection established,req-00307,184
2026-03-15 02:13:20,INFO,search-service,Health check OK,req-00374,127
2026-03-15 02:13:25,INFO,payment-service,Request processed successfully,req-00079,144
2026-03-15 02:13:41,INFO,api-gateway,Connection established,req-00174,175
2026-03-15 02:13:43,INFO,checkout-flow,Health check OK,req-00284,160
2026-03-15 02:13:52,INFO,checkout-flow,Health check OK,req-00096,115
2026-03-15 02:14:00,CRITICAL,api-gateway,"CRITICAL: connection pool exhausted, max_connections=100",req-99999,30000
2026-03-15 02:14:15,ERROR,api-gateway,Payment processing failed: upstream timeout,req-00452,16111
2026-03-15 02:14:28,WARN,payment-service,Connection timeout to database,req-00165,29342
2026-03-15 02:14:33,CRITICAL,payment-service,"Connection pool exhausted, max_connections=100",req-00415,21188
2026-03-15 02:14:34,CRITICAL,checkout-flow,Request queue overflow,req-00206,10189
2026-03-15 02:14:37,ERROR,payment-service,Request queue overflow,req-00375,25408
2026-03-15 02:14:49,WARN,search-service,Circuit breaker OPEN for payment-service,req-00253,17485
2026-03-15 02:15:11,ERROR,api-gateway,Circuit breaker OPEN for payment-service,req-00170,14572
2026-03-15 02:15:24,ERROR,cdn-cache,"Connection pool exhausted, max_connections=100",req-00036,13685
2026-03-15 02:15:43,ERROR,search-service,Request queue overflow,req-00205,20883
2026-03-15 02:16:17,ERROR,api-gateway,"Connection pool exhausted, max_connections=100",req-00411,28375
2026-03-15 02:16:26,ERROR,search-service,Circuit breaker OPEN for payment-service,req-00455,19974
2026-03-15 02:16:36,ERROR,payment-service,Request queue overflow,req-00122,10007
