project_id,name,category,region,batch,year
ICH-0142,Longquan Celadon Firing Technique,Traditional Crafts,Zhejiang,Batch 1,2006
ICH-0287,Zhenjiang Vinegar Brewing Technique,Traditional Crafts,Jiangsu,Batch 1,2006
ICH-0291,Shaoxing Rice Wine Brewing Technique,Traditional Crafts,Zhejiang,Batch 1,2006
ICH-0415,Fuling Pickled Mustard Traditional Technique,Traditional Crafts,Chongqing,Batch 2,2008
ICH-0503,Soy Sauce Brewing Technique (Qianwanlong),Traditional Crafts,Shanghai,Batch 2,2008
ICH-0504,Soy Sauce Brewing Technique (Haitian),Traditional Crafts,Guangdong,Batch 4,2014
ICH-0622,Traditional Vinegar Brewing (Shanxi Mature Vinegar),Traditional Crafts,Shanxi,Batch 1,2006
ICH-0623,Traditional Vinegar Brewing (Baoning Vinegar),Traditional Crafts,Sichuan,Batch 2,2008
ICH-0701,Baijiu Distilling Technique (Moutai),Traditional Crafts,Guizhou,Batch 1,2006
ICH-0702,Baijiu Distilling Technique (Fenjiu),Traditional Crafts,Shanxi,Batch 1,2006
ICH-0788,Douban Traditional Technique (Pixian),Traditional Crafts,Sichuan,Batch 2,2008
ICH-0834,Traditional Noodle Technique (Lanzhou Beef Noodle),Traditional Crafts,Gansu,Batch 4,2014
ICH-0891,Fermented Tofu Technique (Wangzhihe),Traditional Crafts,Beijing,Batch 2,2008
ICH-0956,Traditional Oil Pressing Technique,Traditional Crafts,Anhui,Batch 3,2011
ICH-1023,Soy Sauce Brewing Technique (Xinhe),Traditional Crafts,Shandong,Batch 5,2021
ICH-1101,Traditional Tea Making (Longjing Tea),Traditional Crafts,Zhejiang,Batch 1,2006
ICH-1205,Soy Sauce Brewing Technique (Lee Kum Kee),Traditional Crafts,Guangdong,Batch 3,2011
ICH-1302,Traditional Brewing Technique (Hengshun Vinegar),Traditional Crafts,Jiangsu,Batch 3,2011
ICH-1398,Fermented Black Bean Technique (Yongchuan),Traditional Crafts,Chongqing,Batch 4,2014
ICH-1456,Traditional Sauce Products (Liubiju),Traditional Crafts,Beijing,Batch 2,2008
