epoch,train_loss,val_loss,val_acc,val_f1,val_prec,val_recall,lr
1,2.2125,2.5064,0.1688,0.1575,0.1596,0.1531,0.000999
2,2.0381,2.3615,0.1925,0.1687,0.1713,0.1612,0.000996
3,1.9155,2.2527,0.1982,0.184,0.1858,0.1749,0.000991
4,1.78,2.1173,0.215,0.1952,0.2029,0.1913,0.000984
5,1.6613,1.9958,0.2361,0.2136,0.221,0.2047,0.000976
6,1.5735,1.8933,0.2488,0.231,0.2394,0.2276,0.000965
7,1.4667,1.7857,0.2689,0.2524,0.2624,0.2465,0.000952
8,1.3544,1.7095,0.2894,0.2692,0.2852,0.2699,0.000938
9,1.2978,1.595,0.3158,0.2916,0.3057,0.2949,0.000922
10,1.1896,1.5363,0.3424,0.3208,0.3304,0.3198,0.000905
11,1.1133,1.446,0.3665,0.3485,0.3632,0.3486,0.000885
12,1.0502,1.3605,0.4,0.3827,0.3877,0.3842,0.000864
13,0.9718,1.3005,0.4313,0.411,0.4194,0.4084,0.000842
14,0.9069,1.2322,0.4556,0.4374,0.451,0.4377,0.000819
15,0.8566,1.1611,0.4877,0.4736,0.4833,0.4747,0.000794
16,0.8074,1.1089,0.516,0.5007,0.5109,0.5092,0.000768
17,0.7501,1.0573,0.5547,0.5331,0.5427,0.5374,0.000741
18,0.7077,0.9983,0.5856,0.5602,0.5738,0.5721,0.000713
19,0.6584,0.9675,0.6049,0.5938,0.6046,0.6057,0.000684
20,0.614,0.9069,0.6374,0.6189,0.6361,0.6258,0.000655
21,0.5641,0.8522,0.6556,0.6387,0.6521,0.6611,0.000624
22,0.5408,0.8099,0.6839,0.6707,0.6771,0.6869,0.000594
23,0.5021,0.7693,0.7099,0.6912,0.7069,0.7065,0.000563
24,0.4731,0.7493,0.7281,0.7136,0.7242,0.7269,0.000531
25,0.4444,0.705,0.7477,0.7303,0.7461,0.7461,0.000500
26,0.4122,0.6837,0.7667,0.7446,0.7591,0.758,0.000469
27,0.3841,0.6453,0.7771,0.7643,0.7689,0.7788,0.000437
28,0.364,0.6224,0.7965,0.7788,0.7801,0.7884,0.000406
29,0.339,0.5896,0.8029,0.7862,0.7997,0.8041,0.000376
30,0.3239,0.5641,0.8181,0.7946,0.8089,0.8138,0.000345
31,0.3109,0.5411,0.8226,0.8019,0.8192,0.8289,0.000316
32,0.3022,0.5234,0.8334,0.8155,0.8255,0.8334,0.000287
33,0.279,0.4985,0.8347,0.8196,0.8257,0.8398,0.000259
34,0.2752,0.4638,0.8439,0.8281,0.8373,0.8428,0.000232
35,0.2388,0.4567,0.8444,0.8323,0.8417,0.8529,0.000206
36,0.2455,0.4253,0.856,0.8328,0.8459,0.8541,0.000181
37,0.2293,0.4028,0.8602,0.8385,0.849,0.8629,0.000158
38,0.2127,0.4036,0.8603,0.8401,0.8579,0.8659,0.000136
39,0.1991,0.399,0.8614,0.843,0.8526,0.87,0.000115
40,0.1978,0.3696,0.8617,0.8532,0.8649,0.8689,0.000095
41,0.1717,0.3515,0.8683,0.8463,0.8609,0.8738,0.000078
42,0.1916,0.3429,0.8735,0.847,0.8585,0.8715,0.000062
43,0.1607,0.3373,0.8625,0.8516,0.8696,0.8705,0.000048
44,0.1408,0.3254,0.8735,0.8529,0.8713,0.8758,0.000035
45,0.1541,0.3193,0.8711,0.8506,0.8675,0.8758,0.000024
46,0.1457,0.3221,0.872,0.8568,0.8728,0.874,0.000016
47,0.1333,0.3056,0.8721,0.8636,0.8688,0.8823,0.000009
48,0.1131,0.2912,0.8754,0.8555,0.865,0.8736,0.000004
49,0.1304,0.2777,0.8768,0.8567,0.8672,0.8765,0.000001
50,0.1091,0.2684,0.879,0.861,0.873,0.883,0.000000
