Date,Merchant,Amount,Category,Transaction ID
05/01/2025,STARBUCKS #4521,$12.45,Food & Dining,TXN-20250501-001
05/03/2025,SHELL GAS STATION,$58.90,Gas & Fuel,TXN-20250503-002
05/05/2025,UNITED AIRLINES,$385.50,Travel,TXN-20250505-003
05/08/2025,WHOLE FOODS,$67.80,Groceries,TXN-20250508-004
05/10/2025,HOLIDAY INN MONTREAL,$940.00,Lodging,TXN-20250510-005
05/12/2025,RESTAURANT TOQUE MTL,$247.30,Food & Dining,TXN-20250512-006
05/12/2025,UBER TRIP,$45.00,Transportation,TXN-20250512-007
05/14/2025,HOME DEPOT,$156.78,Home Improvement,TXN-20250514-008
05/15/2025,AMAZON.COM,$129.99,Shopping,TXN-20250515-009
05/18/2025,COSTCO WHOLESALE,$234.67,Groceries,TXN-20250518-010
05/22/2025,APPLE.COM/BILL,$9.99,Services,TXN-20250522-011
05/25/2025,CVS PHARMACY,$43.21,Health & Wellness,TXN-20250525-012
05/28/2025,NETFLIX.COM,$15.49,Entertainment,TXN-20250528-013
