epoch,train_loss,val_loss,val_acc,val_f1,val_prec,val_recall,lr
1,2.1945,2.5014,0.1778,0.1563,0.1675,0.1406,0.000500
2,2.0523,2.3659,0.19,0.1626,0.1783,0.1608,0.000498
3,1.9134,2.2394,0.2027,0.1814,0.1932,0.1706,0.000496
4,1.7805,2.1126,0.2159,0.1993,0.2055,0.1847,0.000492
5,1.6787,2.0037,0.2306,0.2149,0.2201,0.1987,0.000488
6,1.5625,1.8869,0.2528,0.2339,0.2403,0.2217,0.000482
7,1.4716,1.79,0.2744,0.2528,0.2626,0.2384,0.000476
8,1.3688,1.6914,0.295,0.274,0.2805,0.2637,0.000469
9,1.2641,1.6064,0.3191,0.2923,0.3111,0.2899,0.000461
10,1.1822,1.5273,0.343,0.3235,0.328,0.3139,0.000452
11,1.1118,1.4423,0.3723,0.3523,0.3641,0.3443,0.000443
12,1.036,1.3585,0.4017,0.3814,0.397,0.3691,0.000432
13,0.9671,1.2802,0.4273,0.4121,0.4187,0.3965,0.000421
14,0.902,1.2265,0.4666,0.4382,0.4487,0.4317,0.000409
15,0.8592,1.1704,0.4987,0.4735,0.4816,0.4621,0.000397
16,0.7946,1.1074,0.5238,0.5082,0.5158,0.4926,0.000384
17,0.76,1.0626,0.5602,0.5349,0.5503,0.5312,0.000370
18,0.7091,0.9934,0.5865,0.5774,0.575,0.5538,0.000356
19,0.6746,0.947,0.6205,0.591,0.6087,0.5856,0.000342
20,0.605,0.9089,0.645,0.6217,0.6358,0.6101,0.000327
21,0.5693,0.8779,0.6682,0.6469,0.666,0.6359,0.000312
22,0.548,0.8368,0.6944,0.6709,0.6871,0.6583,0.000297
23,0.4998,0.7768,0.7225,0.7002,0.7086,0.6812,0.000281
24,0.4823,0.7369,0.7437,0.7164,0.7253,0.7048,0.000266
25,0.4278,0.7227,0.7577,0.7305,0.7499,0.729,0.000250
26,0.4169,0.6742,0.7752,0.7535,0.7681,0.7385,0.000234
27,0.4195,0.6366,0.7913,0.7649,0.7802,0.7564,0.000219
28,0.3715,0.6152,0.8014,0.7788,0.7988,0.77,0.000203
29,0.3427,0.5778,0.8158,0.7944,0.8032,0.7838,0.000188
30,0.3287,0.5625,0.8323,0.7955,0.8188,0.7842,0.000173
31,0.3109,0.5395,0.8386,0.8011,0.8185,0.797,0.000158
32,0.2859,0.5185,0.8433,0.8148,0.8309,0.8039,0.000144
33,0.2841,0.4928,0.8551,0.8232,0.838,0.8134,0.000130
34,0.2623,0.4624,0.8521,0.8322,0.8421,0.8163,0.000116
35,0.2601,0.4475,0.8615,0.8396,0.8508,0.8191,0.000103
36,0.2426,0.4302,0.8641,0.8373,0.8539,0.8281,0.000091
37,0.2193,0.432,0.8688,0.8366,0.8598,0.83,0.000079
38,0.1994,0.4105,0.8688,0.8512,0.8568,0.8338,0.000068
39,0.1967,0.3955,0.8713,0.851,0.8638,0.8423,0.000057
40,0.2202,0.3834,0.8738,0.8528,0.8636,0.8443,0.000048
41,0.1879,0.3677,0.8785,0.8527,0.8628,0.8481,0.000039
42,0.169,0.3454,0.8854,0.8589,0.8735,0.8398,0.000031
43,0.1653,0.3571,0.8852,0.8611,0.8691,0.8466,0.000024
44,0.1626,0.3293,0.888,0.8594,0.8757,0.8529,0.000018
45,0.1608,0.3268,0.8839,0.8623,0.8773,0.8463,0.000012
46,0.1351,0.3157,0.8851,0.8615,0.8813,0.8505,0.000008
47,0.1284,0.2987,0.8885,0.8588,0.8746,0.8528,0.000004
48,0.1444,0.2782,0.8884,0.8624,0.8808,0.8491,0.000002
49,0.1375,0.2961,0.894,0.868,0.882,0.856,0.000000
50,0.1122,0.263,0.893,0.867,0.881,0.855,0.000000
